date,latitude,longitude,V10M
2020-01-01,23.0225,72.5714,-1.916601911187172
2020-01-01,22.3569,91.7832,-0.8078696864346663
2020-01-01,30.1798,66.975,2.6671027094125748
2020-01-01,28.7041,77.1025,0.5024247765541077
2020-01-01,34.0151,71.5249,-1.3826193151374655
2020-01-01,33.6844,73.0479,1.0862815100699663
2020-01-01,26.8467,80.9462,1.0383592198292415
2020-01-01,17.385,78.4867,2.930754244327545
2020-01-01,19.076,72.8777,-0.8550797489782175
2020-01-01,7.2906,80.6337,0.0790162645280361
2020-01-01,23.8103,90.4125,-0.4726007975017031
2020-01-01,25.5941,85.1376,-0.7529717404395342
2020-01-01,31.5204,74.3587,-0.959664370243748
2020-01-01,26.9124,75.7873,0.0920294734338919
2020-01-01,30.1575,71.5249,-2.535635714729627
2020-01-01,25.396,68.3578,-5.396597683429718
2020-01-01,18.5204,73.8567,0.0750934903820355
2020-01-01,6.9271,79.8612,-0.6116021710137526
2020-01-01,27.7172,85.324,-0.3185304943472147
2020-01-01,24.8607,67.0011,-3.315868486960729
2020-01-01,13.0827,80.2707,-0.5340806084374586
2020-01-01,33.5651,73.0169,1.0862815100699663
2020-01-01,12.9716,77.5946,1.022085728744666
2020-01-01,21.1702,72.8311,-0.0570870293304324
2020-01-01,22.5726,88.3639,-2.5722059508164725
2020-01-02,22.5726,88.3639,-1.4304391493399935
2020-01-02,26.9124,75.7873,-1.1519344598054886
2020-01-02,21.1702,72.8311,-1.5172370274861653
2020-01-02,31.5204,74.3587,-1.7740874340136843
2020-01-02,18.5204,73.8567,-0.6309701551993688
2020-01-02,6.9271,79.8612,-0.3476068129142125
2020-01-02,22.3569,91.7832,-0.7134490013122559
2020-01-02,30.1798,66.975,1.4283280422290163
2020-01-02,30.1575,71.5249,-3.065877596537272
2020-01-02,25.5941,85.1376,1.009860838452975
2020-01-02,25.396,68.3578,-5.248511105775833
2020-01-02,23.8103,90.4125,-0.9567154198884964
2020-01-02,7.2906,80.6337,-0.537849580248197
2020-01-02,28.7041,77.1025,-0.0658787041902542
2020-01-02,34.0151,71.5249,-2.274255911509196
2020-01-02,12.9716,77.5946,2.2718542516231537
2020-01-02,33.6844,73.0479,-0.2720452894767125
2020-01-02,26.8467,80.9462,0.5706009964148203
2020-01-02,27.7172,85.324,0.0456169545650482
2020-01-02,13.0827,80.2707,0.1534663885831833
2020-01-02,24.8607,67.0011,-2.7470621864000955
2020-01-02,23.0225,72.5714,-2.420965353647868
2020-01-02,33.5651,73.0169,-0.2720452894767125
2020-01-02,19.076,72.8777,-1.52593628068765
2020-01-02,17.385,78.4867,2.8092077672481537
2020-01-03,27.7172,85.324,-0.2246178040901819
2020-01-03,26.8467,80.9462,0.9053616486489772
2020-01-03,31.5204,74.3587,-0.6424447813381752
2020-01-03,18.5204,73.8567,-1.2990889598925908
2020-01-03,24.8607,67.0011,-1.5198973069588344
2020-01-03,17.385,78.4867,-0.3093727479378382
2020-01-03,6.9271,79.8612,0.1161770770947138
2020-01-03,30.1798,66.975,-1.3404014992217224
2020-01-03,34.0151,71.5249,-1.8332796146472292
2020-01-03,25.5941,85.1376,1.326382152736187
2020-01-03,23.8103,90.4125,-0.3653310189644496
2020-01-03,22.5726,88.3639,-0.930962429692348
2020-01-03,26.9124,75.7873,-1.0698224833856027
2020-01-03,7.2906,80.6337,0.1961789081494013
2020-01-03,28.7041,77.1025,0.408278614282608
2020-01-03,22.3569,91.7832,-1.568004126350085
2020-01-03,19.076,72.8777,-2.222908169031143
2020-01-03,33.6844,73.0479,-0.5291857831180096
2020-01-03,25.396,68.3578,-3.232125143210093
2020-01-03,33.5651,73.0169,-0.5291857831180096
2020-01-03,30.1575,71.5249,0.9504208527505398
2020-01-03,13.0827,80.2707,0.9077267621954282
2020-01-03,23.0225,72.5714,-1.838464895884196
2020-01-03,12.9716,77.5946,2.5370806008577347
2020-01-03,21.1702,72.8311,-2.857735460003217
