date,latitude,longitude,T2M
2020-01-01,23.0225,72.5714,17.947019195556663
2020-01-01,22.3569,91.7832,21.77839940389
2020-01-01,30.1798,66.975,2.202102915445986
2020-01-01,28.7041,77.1025,10.311277008056663
2020-01-01,34.0151,71.5249,4.804156239827496
2020-01-01,33.6844,73.0479,8.978594716389997
2020-01-01,26.8467,80.9462,10.174069976806663
2020-01-01,25.396,68.3578,22.12605565389
2020-01-01,19.076,72.8777,19.63484471639
2020-01-01,7.2906,80.6337,24.697019195556663
2020-01-01,23.8103,90.4125,20.108152008056663
2020-01-01,25.5941,85.1376,14.528073883056663
2020-01-01,31.5204,74.3587,8.946612294514997
2020-01-01,26.9124,75.7873,10.73136164347333
2020-01-01,30.1575,71.5249,9.049639638264996
2020-01-01,25.396,68.3578,11.720944976806663
2020-01-01,18.5204,73.8567,17.609616851806663
2020-01-01,6.9271,79.8612,27.178464508056663
2020-01-01,27.7172,85.324,10.34610773722333
2020-01-01,24.8607,67.0011,14.920000966389996
2020-01-01,13.0827,80.2707,25.78751398722333
2020-01-01,33.5651,73.0169,8.978594716389997
2020-01-01,12.9716,77.5946,23.05020929972333
2020-01-01,21.1702,72.8311,19.55509211222333
2020-01-01,22.5726,88.3639,16.52530695597333
2020-01-02,22.5726,88.3639,18.25111668904625
2020-01-02,26.9124,75.7873,11.522275543212912
2020-01-02,21.1702,72.8311,19.592588043212917
2020-01-02,31.5204,74.3587,10.07859064737958
2020-01-02,18.5204,73.8567,18.088681793212917
2020-01-02,6.9271,79.8612,27.397275543212917
2020-01-02,22.3569,91.7832,21.57045262654625
2020-01-02,30.1798,66.975,3.500872548421247
2020-01-02,30.1575,71.5249,9.666806793212912
2020-01-02,25.5941,85.1376,15.02585627237958
2020-01-02,25.396,68.3578,12.428525543212912
2020-01-02,23.8103,90.4125,20.47474950154625
2020-01-02,7.2906,80.6337,24.77292658487958
2020-01-02,28.7041,77.1025,12.81003595987958
2020-01-02,34.0151,71.5249,4.190976715087913
2020-01-02,12.9716,77.5946,23.28855158487958
2020-01-02,33.6844,73.0479,10.536923980712912
2020-01-02,26.8467,80.9462,13.768206532796247
2020-01-02,27.7172,85.324,10.66648127237958
2020-01-02,13.0827,80.2707,25.74558283487958
2020-01-02,24.8607,67.0011,16.119280751546246
2020-01-02,23.0225,72.5714,17.46726252237958
2020-01-02,33.5651,73.0169,10.536923980712912
2020-01-02,19.076,72.8777,20.305478668212917
2020-01-02,25.396,68.3578,22.651181793212917
2020-01-03,27.7172,85.324,8.334992980957054
2020-01-03,26.8467,80.9462,14.39033152262372
2020-01-03,31.5204,74.3587,12.15546824137372
2020-01-03,18.5204,73.8567,17.089875793457054
2020-01-03,24.8607,67.0011,18.36233673095705
2020-01-03,25.396,68.3578,22.27542266845705
2020-01-03,6.9271,79.8612,27.53616485595705
2020-01-03,30.1798,66.975,4.032584126790387
2020-01-03,34.0151,71.5249,4.443879699707054
2020-01-03,25.5941,85.1376,17.201203918457054
2020-01-03,23.8103,90.4125,16.967154439290386
2020-01-03,22.5726,88.3639,15.92744089762372
2020-01-03,26.9124,75.7873,13.998404439290388
2020-01-03,7.2906,80.6337,24.834341939290383
2020-01-03,28.7041,77.1025,14.510123189290388
2020-01-03,22.3569,91.7832,19.404654439290383
2020-01-03,19.076,72.8777,19.48798777262372
2020-01-03,33.6844,73.0479,9.419953918457054
2020-01-03,25.396,68.3578,14.483756001790388
2020-01-03,33.5651,73.0169,9.419953918457054
2020-01-03,30.1575,71.5249,12.475943501790388
2020-01-03,13.0827,80.2707,26.08857371012372
2020-01-03,23.0225,72.5714,17.002961730957054
2020-01-03,12.9716,77.5946,24.063834126790383
2020-01-03,21.1702,72.8311,19.084341939290383
2020-01-04,12.9716,77.5946,24.45838826497398
2020-01-04,25.396,68.3578,18.15760701497398
2020-01-04,26.9124,75.7873,14.790907796223982
2020-01-04,25.5941,85.1376,15.373590087890648
2020-01-04,33.5651,73.0169,8.349338785807314
2020-01-04,21.1702,72.8311,19.442437744140648
2020-01-04,25.396,68.3578,21.649468994140648
2020-01-04,33.6844,73.0479,8.349338785807314
2020-01-04,30.1798,66.975,4.569635009765648
2020-01-04,30.1575,71.5249,13.159234619140648
2020-01-04,22.3569,91.7832,18.097711181640648
2020-01-04,24.8607,67.0011,20.11366170247398
2020-01-04,31.5204,74.3587,12.123915608723982
2020-01-04,18.5204,73.8567,16.572808837890648
2020-01-04,23.8103,90.4125,18.36366170247398
2020-01-04,28.7041,77.1025,13.257216389973982
