date,latitude,longitude,U10M
2020-01-01,23.0225,72.5714,-2.625187567124764
2020-01-01,22.3569,91.7832,0.0004504156919817
2020-01-01,30.1798,66.975,-2.131570838391781
2020-01-01,28.7041,77.1025,-2.529764180382093
2020-01-01,34.0151,71.5249,0.103906282922253
2020-01-01,33.6844,73.0479,-1.7983901053667068
2020-01-01,26.8467,80.9462,-2.111728052298228
2020-01-01,17.385,78.4867,-3.5994052986303964
2020-01-01,19.076,72.8777,-0.1780020631849765
2020-01-01,7.2906,80.6337,-2.491881713271141
2020-01-01,23.8103,90.4125,-1.1878452574213345
2020-01-01,25.5941,85.1376,0.3365700741608937
2020-01-01,31.5204,74.3587,-0.8553206423918406
2020-01-01,26.9124,75.7873,-3.9246005912621817
2020-01-01,30.1575,71.5249,-1.4818312625090282
2020-01-01,25.396,68.3578,-1.1414572708308697
2020-01-01,18.5204,73.8567,0.7873464959363142
2020-01-01,6.9271,79.8612,0.036255482584238
2020-01-01,27.7172,85.324,-0.5661468819404641
2020-01-01,24.8607,67.0011,-5.036213576793671
2020-01-01,13.0827,80.2707,-3.072020853559176
2020-01-01,33.5651,73.0169,-1.7983901053667068
2020-01-01,12.9716,77.5946,-2.9896640876928964
2020-01-01,21.1702,72.8311,0.4006455478568871
2020-01-01,22.5726,88.3639,0.8371448193987211
2020-01-02,22.5726,88.3639,0.576482992619276
2020-01-02,26.9124,75.7873,-2.725788557281097
2020-01-02,21.1702,72.8311,0.6639559045433998
2020-01-02,31.5204,74.3587,0.1719108273585637
2020-01-02,18.5204,73.8567,1.0481753976394732
2020-01-02,6.9271,79.8612,-1.2712005997697513
2020-01-02,22.3569,91.7832,-0.7932183872908354
2020-01-02,30.1798,66.975,0.5775905350844065
2020-01-02,30.1575,71.5249,0.0383884732921918
2020-01-02,25.5941,85.1376,-0.9486533105373384
2020-01-02,25.396,68.3578,-0.4946137424558401
2020-01-02,23.8103,90.4125,-1.287495069205761
2020-01-02,7.2906,80.6337,-3.265614002943039
2020-01-02,28.7041,77.1025,-1.9500011801719663
2020-01-02,34.0151,71.5249,0.8418969114621481
2020-01-02,12.9716,77.5946,-2.11774613459905
2020-01-02,33.6844,73.0479,-1.4614707032839458
2020-01-02,26.8467,80.9462,-2.040780797600746
2020-01-02,27.7172,85.324,-1.077500748137633
2020-01-02,13.0827,80.2707,-2.507475957274437
2020-01-02,24.8607,67.0011,-3.5684297531843185
2020-01-02,23.0225,72.5714,-0.7685042421023051
2020-01-02,33.5651,73.0169,-1.4614707032839458
2020-01-02,19.076,72.8777,0.2610367673138777
2020-01-02,17.385,78.4867,-2.3912243296702704
2020-01-03,27.7172,85.324,-1.369946487247944
2020-01-03,26.8467,80.9462,-2.397839580972989
2020-01-03,31.5204,74.3587,1.1532862906654675
2020-01-03,18.5204,73.8567,0.4951162226498127
2020-01-03,24.8607,67.0011,-0.0899051104982694
2020-01-03,17.385,78.4867,-0.8719377517700195
2020-01-03,6.9271,79.8612,0.2234093261261781
2020-01-03,30.1798,66.975,3.2372668782869973
2020-01-03,34.0151,71.5249,1.2473529080549877
2020-01-03,25.5941,85.1376,-1.177329696714878
2020-01-03,23.8103,90.4125,-0.3319591023027897
2020-01-03,22.5726,88.3639,-0.557296438763539
2020-01-03,26.9124,75.7873,-0.8139365563790003
2020-01-03,7.2906,80.6337,-2.775850643714269
2020-01-03,28.7041,77.1025,-0.7955357320606709
2020-01-03,22.3569,91.7832,0.258616437514623
2020-01-03,19.076,72.8777,0.0149323046207427
2020-01-03,33.6844,73.0479,-0.5260470782717069
2020-01-03,25.396,68.3578,-0.2664222754538059
2020-01-03,33.5651,73.0169,-0.5260470782717069
2020-01-03,30.1575,71.5249,0.7412799124916395
2020-01-03,13.0827,80.2707,-2.038200065493584
2020-01-03,23.0225,72.5714,-0.6472088595231374
2020-01-03,12.9716,77.5946,-1.0956341500083606
2020-01-03,21.1702,72.8311,-0.662955937286218
2020-01-04,12.9716,77.5946,-0.3556903898715973
2020-01-04,25.396,68.3578,0.846857321759065
2020-01-04,26.9124,75.7873,0.2663659304380417
2020-01-04,25.5941,85.1376,1.5225775341192882
2020-01-04,33.5651,73.0169,-1.008476654688517
2020-01-04,21.1702,72.8311,-3.1526671250661216
2020-01-04,17.385,78.4867,-1.68328641106685
2020-01-04,33.6844,73.0479,-1.008476654688517
2020-01-04,30.1798,66.975,2.496174747745196
2020-01-04,30.1575,71.5249,-0.1563673789302508
2020-01-04,22.3569,91.7832,-0.2841510872046153
2020-01-04,24.8607,67.0011,1.7832408944765727
2020-01-04,31.5204,74.3587,-0.1493381535013516
2020-01-04,18.5204,73.8567,-1.7130359982450802
2020-01-04,23.8103,90.4125,0.8634326507647833
2020-01-04,28.7041,77.1025,0.8819805135329565
2020-01-04,34.0151,71.5249,0.3936382258931796
2020-01-04,27.7172,85.324,0.4330898150801658
2020-01-04,13.0827,80.2707,-1.9363178263107936
2020-01-04,19.076,72.8777,-1.1691135714451473
2020-01-04,23.0225,72.5714,-3.210894654194514
2020-01-04,6.9271,79.8612,-0.0288630326588948
2020-01-04,26.8467,80.9462,1.3802562654018402
2020-01-04,22.5726,88.3639,1.0514725918571155
2020-01-04,7.2906,80.6337,-2.8520486255486808
2020-01-05,25.5941,85.1376,3.517099757989248
2020-01-05,6.9271,79.8612,-1.4100395093361535
2020-01-05,24.8607,67.0011,0.3988594139615695
2020-01-05,34.0151,71.5249,-0.0152030711372693
2020-01-05,22.3569,91.7832,0.9176112016042074
2020-01-05,19.076,72.8777,-4.976471215486527
2020-01-05,13.0827,80.2707,-3.033396676182747
2020-01-05,22.5726,88.3639,1.5683996677398682
2020-01-05,17.385,78.4867,-2.247711439927419
2020-01-05,23.0225,72.5714,-3.73888169725736
2020-01-05,25.396,68.3578,0.0699015532930692
2020-01-05,28.7041,77.1025,0.3141388222575187
