datetime,QV2M,region_name,country,latitude,longitude
2020-01-01 00:30:00,5.209148395806551,patna,india,25.5941,85.1376
2020-01-01 01:30:00,5.367747507989407,patna,india,25.5941,85.1376
2020-01-01 02:30:00,5.566687323153019,patna,india,25.5941,85.1376
2020-01-01 03:30:00,5.8932676911354065,patna,india,25.5941,85.1376
2020-01-01 04:30:00,6.322536617517471,patna,india,25.5941,85.1376
2020-01-01 05:30:00,6.940821185708046,patna,india,25.5941,85.1376
2020-01-01 06:30:00,7.631754502654076,patna,india,25.5941,85.1376
2020-01-01 07:30:00,7.887731306254864,patna,india,25.5941,85.1376
2020-01-01 08:30:00,7.975950837135315,patna,india,25.5941,85.1376
2020-01-01 09:30:00,8.239787071943283,patna,india,25.5941,85.1376
2020-01-01 10:30:00,8.922295644879341,patna,india,25.5941,85.1376
2020-01-01 11:30:00,8.590282872319221,patna,india,25.5941,85.1376
2020-01-01 12:30:00,8.674412965774536,patna,india,25.5941,85.1376
2020-01-01 13:30:00,8.796089328825474,patna,india,25.5941,85.1376
2020-01-01 14:30:00,8.864247240126133,patna,india,25.5941,85.1376
2020-01-01 15:30:00,8.822336792945862,patna,india,25.5941,85.1376
2020-01-01 16:30:00,8.70373286306858,patna,india,25.5941,85.1376
2020-01-01 17:30:00,8.561900816857815,patna,india,25.5941,85.1376
2020-01-01 18:30:00,8.523216471076012,patna,india,25.5941,85.1376
2020-01-01 19:30:00,8.518921211361885,patna,india,25.5941,85.1376
2020-01-01 20:30:00,8.43830592930317,patna,india,25.5941,85.1376
2020-01-01 21:30:00,8.311953395605087,patna,india,25.5941,85.1376
2020-01-01 22:30:00,8.170397952198982,patna,india,25.5941,85.1376
2020-01-01 23:30:00,8.097369223833084,patna,india,25.5941,85.1376
2020-01-02 00:30:00,8.020487613976002,patna,india,25.5941,85.1376
2020-01-02 01:30:00,7.989507168531418,patna,india,25.5941,85.1376
2020-01-02 02:30:00,8.298116736114025,patna,india,25.5941,85.1376
2020-01-02 03:30:00,8.68308451026678,patna,india,25.5941,85.1376
2020-01-02 04:30:00,8.95752850919962,patna,india,25.5941,85.1376
2020-01-02 05:30:00,9.106217883527279,patna,india,25.5941,85.1376
2020-01-02 06:30:00,9.232090786099434,patna,india,25.5941,85.1376
2020-01-02 07:30:00,9.346560575067997,patna,india,25.5941,85.1376
2020-01-02 08:30:00,9.38862282782793,patna,india,25.5941,85.1376
2020-01-02 09:30:00,9.461166337132454,patna,india,25.5941,85.1376
2020-01-02 10:30:00,9.735814295709133,patna,india,25.5941,85.1376
2020-01-02 11:30:00,9.480164386332035,patna,india,25.5941,85.1376
2020-01-02 12:30:00,9.308414533734322,patna,india,25.5941,85.1376
2020-01-02 13:30:00,9.297281503677368,patna,india,25.5941,85.1376
2020-01-02 14:30:00,9.263590909540653,patna,india,25.5941,85.1376
2020-01-02 15:30:00,9.210323914885521,patna,india,25.5941,85.1376
2020-01-02 16:30:00,9.164816699922085,patna,india,25.5941,85.1376
2020-01-02 17:30:00,9.123113006353378,patna,india,25.5941,85.1376
2020-01-02 18:30:00,9.100214578211308,patna,india,25.5941,85.1376
2020-01-02 19:30:00,9.09629836678505,patna,india,25.5941,85.1376
2020-01-02 20:30:00,9.088736958801746,patna,india,25.5941,85.1376
2020-01-02 21:30:00,9.066035971045494,patna,india,25.5941,85.1376
2020-01-02 22:30:00,9.0015372261405,patna,india,25.5941,85.1376
2020-01-02 23:30:00,8.91433097422123,patna,india,25.5941,85.1376
2020-01-03 00:30:00,8.831017650663853,patna,india,25.5941,85.1376
2020-01-03 01:30:00,8.860981091856956,patna,india,25.5941,85.1376
2020-01-03 02:30:00,9.138915687799454,patna,india,25.5941,85.1376
2020-01-03 03:30:00,9.516289457678795,patna,india,25.5941,85.1376
2020-01-03 04:30:00,9.684093296527863,patna,india,25.5941,85.1376
2020-01-03 05:30:00,9.470540098845959,patna,india,25.5941,85.1376
2020-01-03 06:30:00,9.245648980140686,patna,india,25.5941,85.1376
2020-01-03 07:30:00,9.043690748512745,patna,india,25.5941,85.1376
2020-01-03 08:30:00,8.937058970332146,patna,india,25.5941,85.1376
2020-01-03 09:30:00,8.975280448794365,patna,india,25.5941,85.1376
2020-01-03 10:30:00,9.532169438898563,patna,india,25.5941,85.1376
2020-01-03 11:30:00,9.646521881222725,patna,india,25.5941,85.1376
2020-01-03 12:30:00,9.368064813315868,patna,india,25.5941,85.1376
2020-01-03 13:30:00,9.364433586597443,patna,india,25.5941,85.1376
2020-01-03 14:30:00,9.269426576793194,patna,india,25.5941,85.1376
2020-01-03 15:30:00,9.212775155901909,patna,india,25.5941,85.1376
2020-01-03 16:30:00,9.213575161993504,patna,india,25.5941,85.1376
2020-01-03 17:30:00,9.244640357792377,patna,india,25.5941,85.1376
2020-01-03 18:30:00,9.275658056139946,patna,india,25.5941,85.1376
2020-01-03 19:30:00,9.295475669205189,patna,india,25.5941,85.1376
2020-01-03 20:30:00,9.296023286879063,patna,india,25.5941,85.1376
2020-01-03 21:30:00,9.241601452231407,patna,india,25.5941,85.1376
2020-01-03 22:30:00,9.22132283449173,patna,india,25.5941,85.1376
2020-01-03 23:30:00,9.204991161823273,patna,india,25.5941,85.1376
2020-01-04 00:30:00,9.188840165734291,patna,india,25.5941,85.1376
2020-01-04 01:30:00,9.233764372766018,patna,india,25.5941,85.1376
2020-01-04 02:30:00,9.351330809295177,patna,india,25.5941,85.1376
2020-01-04 03:30:00,9.358610026538372,patna,india,25.5941,85.1376
2020-01-04 04:30:00,9.232604876160622,patna,india,25.5941,85.1376
