date,PS,region_name,country,latitude,longitude
2020-01-01,958.8440592447918,rawalpindi,pakistan,33.5651,73.0169
2020-01-02,958.5030989583333,rawalpindi,pakistan,33.5651,73.0169
2020-01-03,954.8219433593749,rawalpindi,pakistan,33.5651,73.0169
2020-01-04,954.1107747395832,rawalpindi,pakistan,33.5651,73.0169
2020-01-05,955.4904003906249,rawalpindi,pakistan,33.5651,73.0169
2020-01-06,955.7470963541667,rawalpindi,pakistan,33.5651,73.0169
2020-01-07,952.9440787760417,rawalpindi,pakistan,33.5651,73.0169
2020-01-08,952.66685546875,rawalpindi,pakistan,33.5651,73.0169
2020-01-09,956.0484993489582,rawalpindi,pakistan,33.5651,73.0169
2020-01-10,956.1195996093751,rawalpindi,pakistan,33.5651,73.0169
2020-01-11,955.343125,rawalpindi,pakistan,33.5651,73.0169
2020-01-12,951.9123958333333,rawalpindi,pakistan,33.5651,73.0169
2020-01-13,947.9603483072916,rawalpindi,pakistan,33.5651,73.0169
2020-01-14,953.165322265625,rawalpindi,pakistan,33.5651,73.0169
2020-01-15,953.8211393229167,rawalpindi,pakistan,33.5651,73.0169
2020-01-16,952.3598372395833,rawalpindi,pakistan,33.5651,73.0169
2020-01-17,953.4129654947916,rawalpindi,pakistan,33.5651,73.0169
2020-01-18,955.652685546875,rawalpindi,pakistan,33.5651,73.0169
2020-01-19,955.5548274739584,rawalpindi,pakistan,33.5651,73.0169
2020-01-20,953.96955078125,rawalpindi,pakistan,33.5651,73.0169
2020-01-21,957.1093619791667,rawalpindi,pakistan,33.5651,73.0169
2020-01-22,958.0462044270834,rawalpindi,pakistan,33.5651,73.0169
2020-01-23,955.9549674479167,rawalpindi,pakistan,33.5651,73.0169
2020-01-24,952.6814876302083,rawalpindi,pakistan,33.5651,73.0169
2020-01-25,952.9454329427084,rawalpindi,pakistan,33.5651,73.0169
2020-01-26,951.6773014322916,rawalpindi,pakistan,33.5651,73.0169
2020-01-27,949.8743098958333,rawalpindi,pakistan,33.5651,73.0169
2020-01-28,948.6638053385417,rawalpindi,pakistan,33.5651,73.0169
2020-01-29,954.8102799479167,rawalpindi,pakistan,33.5651,73.0169
2020-01-30,954.271376953125,rawalpindi,pakistan,33.5651,73.0169
2020-01-31,951.9228190104167,rawalpindi,pakistan,33.5651,73.0169
2020-02-01,956.1355761718751,rawalpindi,pakistan,33.5651,73.0169
2020-02-02,956.5656315104167,rawalpindi,pakistan,33.5651,73.0169
2020-02-03,954.4130013020832,rawalpindi,pakistan,33.5651,73.0169
2020-02-04,955.1428483072917,rawalpindi,pakistan,33.5651,73.0169
2020-02-05,953.4828776041667,rawalpindi,pakistan,33.5651,73.0169
2020-02-06,952.8163932291667,rawalpindi,pakistan,33.5651,73.0169
2020-02-07,955.8925423177084,rawalpindi,pakistan,33.5651,73.0169
2020-02-08,957.660556640625,rawalpindi,pakistan,33.5651,73.0169
2020-02-09,957.4182682291666,rawalpindi,pakistan,33.5651,73.0169
2020-02-10,955.3879752604166,rawalpindi,pakistan,33.5651,73.0169
2020-02-11,956.7453190104167,rawalpindi,pakistan,33.5651,73.0169
2020-02-12,956.5328548177084,rawalpindi,pakistan,33.5651,73.0169
2020-02-13,953.54501953125,rawalpindi,pakistan,33.5651,73.0169
2020-02-14,950.6117545572916,rawalpindi,pakistan,33.5651,73.0169
2020-02-15,951.0459895833333,rawalpindi,pakistan,33.5651,73.0169
2020-02-16,954.073095703125,rawalpindi,pakistan,33.5651,73.0169
2020-02-17,954.77212890625,rawalpindi,pakistan,33.5651,73.0169
2020-02-18,950.1960579427083,rawalpindi,pakistan,33.5651,73.0169
2020-02-19,948.8923990885418,rawalpindi,pakistan,33.5651,73.0169
2020-02-20,953.0704720052084,rawalpindi,pakistan,33.5651,73.0169
2020-02-21,956.7351888020834,rawalpindi,pakistan,33.5651,73.0169
2020-02-22,958.040185546875,rawalpindi,pakistan,33.5651,73.0169
2020-02-23,955.2228938802083,rawalpindi,pakistan,33.5651,73.0169
2020-02-24,952.2702571614583,rawalpindi,pakistan,33.5651,73.0169
2020-02-25,950.8769010416667,rawalpindi,pakistan,33.5651,73.0169
2020-02-26,951.260810546875,rawalpindi,pakistan,33.5651,73.0169
2020-02-27,951.5479296875001,rawalpindi,pakistan,33.5651,73.0169
2020-02-28,951.294072265625,rawalpindi,pakistan,33.5651,73.0169
2020-02-29,951.5286555989583,rawalpindi,pakistan,33.5651,73.0169
2020-03-01,952.5875,rawalpindi,pakistan,33.5651,73.0169
2020-03-02,951.0303157552083,rawalpindi,pakistan,33.5651,73.0169
2020-03-03,948.9262565104167,rawalpindi,pakistan,33.5651,73.0169
2020-03-04,948.3899707031251,rawalpindi,pakistan,33.5651,73.0169
2020-03-05,948.1095670572917,rawalpindi,pakistan,33.5651,73.0169
2020-03-06,947.1690266927084,rawalpindi,pakistan,33.5651,73.0169
2020-03-07,951.2861458333333,rawalpindi,pakistan,33.5651,73.0169
2020-03-08,954.714453125,rawalpindi,pakistan,33.5651,73.0169
2020-03-09,950.5869791666668,rawalpindi,pakistan,33.5651,73.0169
2020-03-10,948.5721647135416,rawalpindi,pakistan,33.5651,73.0169
2020-03-11,946.503115234375,rawalpindi,pakistan,33.5651,73.0169
2020-03-12,950.7701009114584,rawalpindi,pakistan,33.5651,73.0169
2020-03-13,952.85125,rawalpindi,pakistan,33.5651,73.0169
2020-03-14,953.219326171875,rawalpindi,pakistan,33.5651,73.0169
2020-03-15,954.5415885416666,rawalpindi,pakistan,33.5651,73.0169
2020-03-16,954.052138671875,rawalpindi,pakistan,33.5651,73.0169
2020-03-17,954.0772135416668,rawalpindi,pakistan,33.5651,73.0169
2020-03-18,951.6175390625,rawalpindi,pakistan,33.5651,73.0169
2020-03-19,949.1404264322917,rawalpindi,pakistan,33.5651,73.0169
2020-03-20,949.2964973958333,rawalpindi,pakistan,33.5651,73.0169
2020-03-21,950.5565397135416,rawalpindi,pakistan,33.5651,73.0169
2020-03-22,951.5780631510416,rawalpindi,pakistan,33.5651,73.0169
2020-03-23,949.55958984375,rawalpindi,pakistan,33.5651,73.0169
2020-03-24,949.8986979166666,rawalpindi,pakistan,33.5651,73.0169
2020-03-25,951.2032421875,rawalpindi,pakistan,33.5651,73.0169
2020-03-26,950.8510286458333,rawalpindi,pakistan,33.5651,73.0169
2020-03-27,949.5205013020833,rawalpindi,pakistan,33.5651,73.0169
2020-03-28,952.444599609375,rawalpindi,pakistan,33.5651,73.0169
2020-03-29,951.5135026041667,rawalpindi,pakistan,33.5651,73.0169
2020-03-30,950.8341080729166,rawalpindi,pakistan,33.5651,73.0169
2020-03-31,950.2299674479167,rawalpindi,pakistan,33.5651,73.0169
2020-04-01,950.496826171875,rawalpindi,pakistan,33.5651,73.0169
2020-04-02,949.958818359375,rawalpindi,pakistan,33.5651,73.0169
2020-04-03,950.7303157552083,rawalpindi,pakistan,33.5651,73.0169
